O*NET-SOC Code;Title;Example;Commodity Code;Commodity Title
11-1011.00;Chief Executives;10-key calculators;44101809;Desktop calculator
11-1011.00;Chief Executives;Desktop computers;43211507;Desktop computers
11-1011.00;Chief Executives;Laptop computers;43211503;Notebook computers
11-1011.00;Chief Executives;Personal computers;43211508;Personal computers
11-1011.00;Chief Executives;Personal digital assistants PDA;43211504;Personal digital assistant PDAs or organizers
11-1011.00;Chief Executives;Smartphones;43191501;Mobile phones
11-1011.00;Chief Executives;Universal serial bus USB flash drives;43201813;High capacity removable media drives
11-1011.03;Chief Sustainability Officers;10-key calculators;44101809;Desktop calculator
11-1011.03;Chief Sustainability Officers;Computer data input scanners;43211711;Scanners
11-1011.03;Chief Sustainability Officers;Desktop computers;43211507;Desktop computers
11-1011.03;Chief Sustainability Officers;Handheld computers;43211715;Portable data input terminals
11-1011.03;Chief Sustainability Officers;Laptop computers;43211503;Notebook computers
11-1011.03;Chief Sustainability Officers;Multi-line telephone systems;43191507;Special purpose telephones
11-1011.03;Chief Sustainability Officers;Personal computers;43211508;Personal computers
11-1011.03;Chief Sustainability Officers;Photocopying equipment;44101501;Photocopiers
11-1011.03;Chief Sustainability Officers;Smartphones;43191501;Mobile phones
11-1011.03;Chief Sustainability Officers;Video teleconferencing systems;45111902;Videoconferencing systems
11-1021.00;General and Operations Managers;10-key calculators;44101809;Desktop calculator
11-1021.00;General and Operations Managers;Cell phones;43191501;Mobile phones
11-1021.00;General and Operations Managers;Computer scanners;43211711;Scanners
11-1021.00;General and Operations Managers;Credit card processing machines;43211702;Magnetic stripe readers and encoders
11-1021.00;General and Operations Managers;Desktop computers;43211507;Desktop computers
11-1021.00;General and Operations Managers;Digital cameras;45121504;Digital cameras
11-1021.00;General and Operations Managers;Handtrucks;24101504;Hand trucks or accessories
11-1021.00;General and Operations Managers;Humidity test chambers;41103418;Temperature and humidity walk in environmental chamber
11-1021.00;General and Operations Managers;Laptop computers;43211503;Notebook computers
11-1021.00;General and Operations Managers;Magnetic card readers;43211702;Magnetic stripe readers and encoders
